pclass,survived,name,sex,age
1,1, Miss. Elisabeth Walton,female,29
1,1, Master. Hudson Trevor,male,0
1,0, Miss. Helen Loraine,female,2
1,0, Mr. Hudson Joshua Creighton,male,30
1,0, Mrs. Hudson J C (Bessie Waldo Daniels),female,25
1,1, Mr. Harry,male,48
1,1, Miss. Kornelia Theodosia,female,63
1,0, Mr. Thomas Jr,male,39
1,1, Mrs. Edward Dale (Charlotte Lamson),female,53
1,0, Mr. Ramon,male,71
1,0, Col. John Jacob,male,47
1,1, Mrs. John Jacob (Madeleine Talmadge Force),female,18
1,1, Mme. Leontine Pauline,female,24
1,1,"Barber, Miss. Ellen ""Nellie""",female,26
1,1, Mr. Algernon Henry Wilson,male,80
1,0, Mr. John D,male,
1,0, Mr. Quigg Edmond,male,24
1,1, Mrs. James (Helene DeLaudeniere Chaput),female,50
1,1, Miss. Albina,female,32
1,0, Mr. Thomson,male,36
1,1, Mr. Richard Leonard,male,37
1,1, Mrs. Richard Leonard (Sallie Monypeny),female,47
1,1, Mr. Karl Howell,male,26
1,1, Miss. Rosalie,female,42
1,1, Miss. Ellen,female,29
1,0, Mr. Jakob,male,25
1,1, Mr. Dickinson H,male,25
1,1, Mrs. Dickinson H (Helen Walton),female,19
1,1, Miss. Amelia,female,35
1,1, Mr. Mauritz Hakan,male,28
1,0, Mr. Stephen Weart,male,45
1,1, Mr. Henry,male,40
1,1, Miss. Caroline,female,30
1,1, Miss. Elizabeth,female,58
1,0, Mr. John James,male,42
1,1, Miss. Grace Scott,female,45
1,1, Miss. Elsie Edith,female,22
1,1,"Bradley, Mr. George (""George Arthur Brayton"")",male,
1,0, Mr. John Bertram,male,41
1,0, Mr. Emil,male,48
1,0, Dr. Arthur Jackson,male,
1,1, Mrs. James Joseph (Margaret Tobin),female,44
1,1, Mrs. John Murray (Caroline Lane Lamson),female,59
1,1, Mrs. William Robert (Emma Eliza Ward),female,60
1,1, Miss. Elizabeth Margaret,female,41
1,0, Major. Archibald Willingham,male,45
1,0, Mr. Alexander,male,
1,1, Mr. Edward Pennington,male,42
1,1, Mrs. Edward (Helen Churchill Hungerford),female,53
1,1, Mr. Thomas Drake Martinez,male,36
1,1, Mrs. James Warburton Martinez (Charlotte Wardle Drake),female,58
1,0, Mr. Frans Olof,male,33
1,0, Mr. Francisco M,male,28
1,0, Mr. Jose Pedro,male,17
1,1, Master. William Thornton II,male,11
1,1, Miss. Lucile Polk,female,14
1,1, Mr. William Ernest,male,36
1,1, Mrs. William Ernest (Lucile Polk),female,36
1,0, Mr. Howard Brown,male,49
1,1, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick),female,
1,0, Mr. Tyrell William,male,36
1,1, Mrs. Tyrell William (Julia Florence Siegel),female,76
